ERBB3,ESR1
ERBB3,GATA3
ERBB3,YBX1
ERCC1,GSK3A
ERCC1,PECAM1
ERCC1,RPS6
ERCC1,XRCC1
ESR1,GATA3
ESR1,INPP4B
ESR1,IRS1
ESR1,NOTCH1
ESR1,PDK1
ESR1,PGR
ESR1,PREX1
ESR1,RAD50
ESR1,TGM1
ESR1,YBX1
ETS1,JAK2
ETS1,KDR
ETS1,LCK
ETS1,MET
ETS1,MS4A1
ETS1,PECAM1
ETS1,PRKCA
ETS1,SNAI2
ETS1,WWTR1
FASN,RPTOR
FASN,SCD
FN1,MYH9
FN1,SERPINE1
FN1,SNAI2
FOXM1,GAPDH
FOXM1,MSH2
FOXM1,MSH6
FOXM1,PCNA
FOXM1,RAD51
FOXM1,STMN1
FOXM1,TUBA1B
G6PD,PRDX1
G6PD,SMAD4
GAPDH,STMN1
GAPDH,TSC1
GAPDH,YBX1
GATA3,INPP4B
GATA3,NOTCH1
GATA3,PDK1
GATA3,PREX1
GATA3,PRKCA
GATA6,PECAM1
GSK3A,HSPA1A
GSK3A,MS4A1
GSK3A,MTOR
GSK3A,RB1
GSK3A,XRCC1
HSPA1A,RAB11A
INPP4B,IRS1
INPP4B,PGR
INPP4B,PREX1
INPP4B,PTEN
INPP4B,RAD50
INPP4B,RB1
INPP4B,SMAD3
INPP4B,STMN1
INPP4B,TP53BP1
INPP4B,YBX1
IRF1,JAK2
IRF1,LCK
IRS1,PGR
IRS1,PREX1
IRS1,YBX1
JAK2,MS4A1
KAT2A,MSH6
KAT2A,PRKAA1
KAT2A,RAB11A
KAT2A,RPS6
KAT2A,YAP1
KDR,PECAM1
KIT,MET
KIT,WWTR1
LCK,MS4A1
LCK,SYK
MAPK1,MAPK14
MAPK14,PARK7
MAPK9,RAD50
MAPK9,YBX1
MET,NOTCH1
MET,PRKCA
MET,RB1
MET,WWTR1
MRE11A,PECAM1
MRE11A,SETD2
MRE11A,STMN1
MRE11A,TP53
MS4A1,RAB11A
MS4A1,RB1
MS4A1,YWHAE
MSH2,MSH6
MSH2,RBM15
MSH2,STMN1
MSH6,PDK1
MSH6,RPS6
MSH6,TUBA1B
MTOR,RAB11A
MTOR,RPTOR
MTOR,TP53BP1
MTOR,TSC2
MTOR,XRCC5
MYH11,PECAM1
NOTCH1,RAB11A
NOTCH1,WWTR1
NRAS,RAB11A
NRAS,YWHAB
NRG1,SNAI2
PARK7,PIK3CA
PARP1,SNAI2
PCNA,RAD51
PCNA,SRSF1
PCNA,STMN1
PDCD4,PGR
PDK1,PREX1
PECAM1,SCD
PECAM1,SETD2
PECAM1,TP53
PGR,PREX1
PGR,RAD50
PIK3CA,RICTOR
PIK3R1,YAP1
PRDX1,TP53BP1
PRDX1,YWHAZ
PRKCA,WWTR1
RAB11A,RB1
RAB11A,RBM15
RAB11A,RPS6
RAB11A,SMAD4
RAB11A,YWHAB
RAB11A,YWHAE
RAD50,RICTOR
RAD50,SETD2
RAD50,TP53BP1
RAD50,YBX1
RAD51,STMN1
RAD51,TUBA1B
RAD51,YWHAZ
RB1,STMN1
RBM15,RPS6
RBM15,TSC2
RBM15,XRCC5
RBM15,YWHAB
RBM15,YWHAE
RICTOR,SETD2
SETD2,STMN1
SETD2,TP53BP1
SMAD1,TP53BP1
SMAD4,YWHAE
SNAI2,WWTR1
SRSF1,YWHAZ
STMN1,TUBA1B
STMN1,YBX1
TP53BP1,YBX1
WWTR1,YAP1
WWTR1,YWHAE
